1 1 1024
x y
-5 -579.0
-4.990234375 -576.987147076
-4.98046875 -574.972066674
-4.970703125 -572.954819933
-4.9609375 -570.935467776
-4.951171875 -568.914070905
-4.94140625 -566.890689805
-4.931640625 -564.865384743
-4.921875 -562.838215768
-4.912109375 -560.80924271
-4.90234375 -558.778525181
-4.892578125 -556.746122574
-4.8828125 -554.712094065
-4.873046875 -552.676498611
-4.86328125 -550.63939495
-4.853515625 -548.600841603
-4.84375 -546.560896873
-4.833984375 -544.519618844
-4.82421875 -542.47706538
-4.814453125 -540.43329413
-4.8046875 -538.388362523
-4.794921875 -536.342327769
-4.78515625 -534.295246862
-4.775390625 -532.247176574
-4.765625 -530.198173463
-4.755859375 -528.148293867
-4.74609375 -526.097593903
-4.736328125 -524.046129475
-4.7265625 -521.993956264
-4.716796875 -519.941129736
-4.70703125 -517.887705136
-4.697265625 -515.833737493
-4.6875 -513.779281616
-4.677734375 -511.724392098
-4.66796875 -509.66912331
-4.658203125 -507.613529409
-4.6484375 -505.557664331
-4.638671875 -503.501581794
-4.62890625 -501.445335299
-4.619140625 -499.388978126
-4.609375 -497.332563341
-4.599609375 -495.276143787
-4.58984375 -493.219772093
-4.580078125 -491.163500666
-4.5703125 -489.107381698
-4.560546875 -487.05146716
-4.55078125 -484.995808806
-4.541015625 -482.940458172
-4.53125 -480.885466576
-4.521484375 -478.830885115
-4.51171875 -476.776764672
-4.501953125 -474.723155908
-4.4921875 -472.670109268
-4.482421875 -470.617674978
-4.47265625 -468.565903045
-4.462890625 -466.514843259
-4.453125 -464.46454519
-4.443359375 -462.415058193
-4.43359375 -460.3664314
-4.423828125 -458.318713729
-4.4140625 -456.271953877
-4.404296875 -454.226200324
-4.39453125 -452.181501332
-4.384765625 -450.137904944
-4.375 -448.095458984
-4.365234375 -446.05421106
-4.35546875 -444.014208559
-4.345703125 -441.975498651
-4.3359375 -439.938128289
-4.326171875 -437.902144205
-4.31640625 -435.867592916
-4.306640625 -433.834520717
-4.296875 -431.802973688
-4.287109375 -429.772997688
-4.27734375 -427.744638361
-4.267578125 -425.717941129
-4.2578125 -423.692951199
-4.248046875 -421.669713557
-4.23828125 -419.648272972
-4.228515625 -417.628673996
-4.21875 -415.61096096
-4.208984375 -413.595177979
-4.19921875 -411.581368949
-4.189453125 -409.569577547
-4.1796875 -407.559847232
-4.169921875 -405.552221246
-4.16015625 -403.54674261
-4.150390625 -401.543454131
-4.140625 -399.542398393
-4.130859375 -397.543617765
-4.12109375 -395.547154397
-4.111328125 -393.553050219
-4.1015625 -391.561346944
-4.091796875 -389.572086069
-4.08203125 -387.585308868
-4.072265625 -385.601056401
-4.0625 -383.619369507
-4.052734375 -381.640288808
-4.04296875 -379.663854707
-4.033203125 -377.690107389
-4.0234375 -375.719086822
-4.013671875 -373.750832754
-4.00390625 -371.785384714
-3.994140625 -369.822782016
-3.984375 -367.863063753
-3.974609375 -365.906268799
-3.96484375 -363.952435814
-3.955078125 -362.001603234
-3.9453125 -360.053809281
-3.935546875 -358.109091958
-3.92578125 -356.167489048
-3.916015625 -354.229038117
-3.90625 -352.293776512
-3.896484375 -350.361741363
-3.88671875 -348.432969581
-3.876953125 -346.507497858
-3.8671875 -344.585362669
-3.857421875 -342.66660027
-3.84765625 -340.751246698
-3.837890625 -338.839337773
-3.828125 -336.930909097
-3.818359375 -335.025996052
-3.80859375 -333.124633804
-3.798828125 -331.226857298
-3.7890625 -329.332701262
-3.779296875 -327.442200207
-3.76953125 -325.555388424
-3.759765625 -323.672299987
-3.75 -321.79296875
-3.740234375 -319.91742835
-3.73046875 -318.045712206
-3.720703125 -316.177853518
-3.7109375 -314.313885268
-3.701171875 -312.453840219
-3.69140625 -310.597750917
-3.681640625 -308.745649689
-3.671875 -306.897568643
-3.662109375 -305.053539671
-3.65234375 -303.213594444
-3.642578125 -301.377764416
-3.6328125 -299.546080824
-3.623046875 -297.718574684
-3.61328125 -295.895276796
-3.603515625 -294.07621774
-3.59375 -292.261427879
-3.583984375 -290.450937358
-3.57421875 -288.644776102
-3.564453125 -286.842973819
-3.5546875 -285.045559999
-3.544921875 -283.252563912
-3.53515625 -281.464014612
-3.525390625 -279.679940933
-3.515625 -277.900371492
-3.505859375 -276.125334686
-3.49609375 -274.354858696
-3.486328125 -272.588971483
-3.4765625 -270.82770079
-3.466796875 -269.071074142
-3.45703125 -267.319118846
-3.447265625 -265.57186199
-3.4375 -263.829330444
-3.427734375 -262.091550861
-3.41796875 -260.358549673
-3.408203125 -258.630353096
-3.3984375 -256.906987127
-3.388671875 -255.188477545
-3.37890625 -253.474849909
-3.369140625 -251.766129563
-3.359375 -250.06234163
-3.349609375 -248.363511016
-3.33984375 -246.669662408
-3.330078125 -244.980820275
-3.3203125 -243.297008868
-3.310546875 -241.61825222
-3.30078125 -239.944574144
-3.291015625 -238.275998236
-3.28125 -236.612547874
-3.271484375 -234.954246219
-3.26171875 -233.301116209
-3.251953125 -231.653180569
-3.2421875 -230.010461804
-3.232421875 -228.372982198
-3.22265625 -226.74076382
-3.212890625 -225.113828521
-3.203125 -223.492197931
-3.193359375 -221.875893463
-3.18359375 -220.264936313
