1 1 1024
x y
-5 -120.5
-4.990234375 -120.652538582
-4.98046875 -120.797685938
-4.970703125 -120.935489402
-4.9609375 -121.065996198
-4.951171875 -121.189253442
-4.94140625 -121.305308141
-4.931640625 -121.414207191
-4.921875 -121.51599738
-4.912109375 -121.610725388
-4.90234375 -121.698437784
-4.892578125 -121.779181028
-4.8828125 -121.853001473
-4.873046875 -121.919945361
-4.86328125 -121.980058825
-4.853515625 -122.033387888
-4.84375 -122.079978466
-4.833984375 -122.119876365
-4.82421875 -122.153127281
-4.814453125 -122.179776802
-4.8046875 -122.199870406
-4.794921875 -122.213453462
-4.78515625 -122.220571231
-4.775390625 -122.221268863
-4.765625 -122.215591401
-4.755859375 -122.203583776
-4.74609375 -122.185290813
-4.736328125 -122.160757226
-4.7265625 -122.13002762
-4.716796875 -122.093146491
-4.70703125 -122.050158227
-4.697265625 -122.001107104
-4.6875 -121.946037292
-4.677734375 -121.884992851
-4.66796875 -121.81801773
-4.658203125 -121.745155772
-4.6484375 -121.666450707
-4.638671875 -121.58194616
-4.62890625 -121.491685644
-4.619140625 -121.395712563
-4.609375 -121.294070214
-4.599609375 -121.186801783
-4.58984375 -121.073950346
-4.580078125 -120.955558873
-4.5703125 -120.831670223
-4.560546875 -120.702327144
-4.55078125 -120.567572279
-4.541015625 -120.427448158
-4.53125 -120.281997204
-4.521484375 -120.13126173
-4.51171875 -119.975283941
-4.501953125 -119.814105932
-4.4921875 -119.647769688
-4.482421875 -119.476317086
-4.47265625 -119.299789894
-4.462890625 -119.118229771
-4.453125 -118.931678265
-4.443359375 -118.740176818
-4.43359375 -118.543766759
-4.423828125 -118.342489312
-4.4140625 -118.136385588
-4.404296875 -117.925496592
-4.39453125 -117.709863217
-4.384765625 -117.489526251
-4.375 -117.264526367
-4.365234375 -117.034904135
-4.35546875 -116.800700011
-4.345703125 -116.561954344
-4.3359375 -116.318707375
-4.326171875 -116.070999233
-4.31640625 -115.818869941
-4.306640625 -115.56235941
-4.296875 -115.301507443
-4.287109375 -115.036353735
-4.27734375 -114.76693787
-4.267578125 -114.493299325
-4.2578125 -114.215477465
-4.248046875 -113.933511548
-4.23828125 -113.647440722
-4.228515625 -113.357304027
-4.21875 -113.063140392
-4.208984375 -112.764988639
-4.19921875 -112.462887479
-4.189453125 -112.156875514
-4.1796875 -111.846991239
-4.169921875 -111.533273037
-4.16015625 -111.215759184
-4.150390625 -110.894487846
-4.140625 -110.569497079
-4.130859375 -110.240824831
-4.12109375 -109.908508941
-4.111328125 -109.572587139
-4.1015625 -109.233097045
-4.091796875 -108.890076169
-4.08203125 -108.543561915
-4.072265625 -108.193591574
-4.0625 -107.840202332
-4.052734375 -107.483431261
-4.04296875 -107.123315329
-4.033203125 -106.75989139
-4.0234375 -106.393196194
-4.013671875 -106.023266376
-4.00390625 -105.650138467
-3.994140625 -105.273848887
-3.984375 -104.894433945
-3.974609375 -104.511929844
-3.96484375 -104.126372676
-3.955078125 -103.737798424
-3.9453125 -103.346242962
-3.935546875 -102.951742056
-3.92578125 -102.55433136
-3.916015625 -102.154046422
-3.90625 -101.75092268
-3.896484375 -101.344995461
-3.88671875 -100.936299985
-3.876953125 -100.524871362
-3.8671875 -100.110744594
-3.857421875 -99.6939545709
-3.84765625 -99.2745360768
-3.837890625 -98.852523785
-3.828125 -98.4279522598
-3.818359375 -98.0008559566
-3.80859375 -97.5712692215
-3.798828125 -97.1392262916
-3.7890625 -96.7047612946
-3.779296875 -96.2679082495
-3.76953125 -95.8287010657
-3.759765625 -95.3871735438
-3.75 -94.943359375
-3.740234375 -94.4972921415
-3.73046875 -94.0490053165
-3.720703125 -93.5985322636
-3.7109375 -93.1459062379
-3.701171875 -92.6911603848
-3.69140625 -92.2343277409
-3.681640625 -91.7754412334
-3.671875 -91.3145336807
-3.662109375 -90.8516377917
-3.65234375 -90.3867861665
-3.642578125 -89.9200112957
-3.6328125 -89.4513455611
-3.623046875 -88.9808212351
-3.61328125 -88.5084704811
-3.603515625 -88.0343253534
-3.59375 -87.5584177971
-3.583984375 -87.080779648
-3.57421875 -86.6014426331
-3.564453125 -86.1204383699
-3.5546875 -85.6377983671
-3.544921875 -85.1535540239
-3.53515625 -84.6677366308
