1 1 1024
x y
-5 -313.5
-4.990234375 -313.609577184
-4.98046875 -313.70400994
-4.970703125 -313.783412331
-4.9609375 -313.84789809
-4.951171875 -313.897580624
-4.94140625 -313.932573013
-4.931640625 -313.952988007
-4.921875 -313.958938032
-4.912109375 -313.950535185
-4.90234375 -313.927891235
-4.892578125 -313.891117625
-4.8828125 -313.840325469
-4.873046875 -313.775625555
-4.86328125 -313.697128342
-4.853515625 -313.604943964
-4.84375 -313.499182224
-4.833984375 -313.379952602
-4.82421875 -313.247364247
-4.814453125 -313.101525982
-4.8046875 -312.942546302
-4.794921875 -312.770533377
-4.78515625 -312.585595045
-4.775390625 -312.387838821
-4.765625 -312.177371889
-4.755859375 -311.95430111
-4.74609375 -311.718733012
-4.736328125 -311.470773801
-4.7265625 -311.210529352
-4.716796875 -310.938105213
-4.70703125 -310.653606606
-4.697265625 -310.357138425
-4.6875 -310.048805237
-4.677734375 -309.728711279
-4.66796875 -309.396960465
-4.658203125 -309.053656377
-4.6484375 -308.698902274
-4.638671875 -308.332801083
-4.62890625 -307.955455407
-4.619140625 -307.566967521
-4.609375 -307.167439371
-4.599609375 -306.756972578
-4.58984375 -306.335668433
-4.580078125 -305.903627902
-4.5703125 -305.460951621
-4.560546875 -305.007739901
-4.55078125 -304.544092724
-4.541015625 -304.070109745
-4.53125 -303.585890293
-4.521484375 -303.091533367
-4.51171875 -302.587137641
-4.501953125 -302.07280146
-4.4921875 -301.548622841
-4.482421875 -301.014699476
-4.47265625 -300.471128728
-4.462890625 -299.918007632
-4.453125 -299.355432898
-4.443359375 -298.783500905
-4.43359375 -298.202307708
-4.423828125 -297.611949033
-4.4140625 -297.012520278
-4.404296875 -296.404116515
-4.39453125 -295.786832487
-4.384765625 -295.160762611
-4.375 -294.526000977
-4.365234375 -293.882641345
-4.35546875 -293.23077715
-4.345703125 -292.570501498
-4.3359375 -291.90190717
-4.326171875 -291.225086617
-4.31640625 -290.540131963
-4.306640625 -289.847135007
-4.296875 -289.146187216
-4.287109375 -288.437379734
-4.27734375 -287.720803376
-4.267578125 -286.996548629
-4.2578125 -286.264705652
-4.248046875 -285.52536428
-4.23828125 -284.778614016
-4.228515625 -284.024544039
-4.21875 -283.263243198
-4.208984375 -282.494800018
-4.19921875 -281.719302693
-4.189453125 -280.936839092
-4.1796875 -280.147496754
-4.169921875 -279.351362895
-4.16015625 -278.548524398
-4.150390625 -277.739067823
-4.140625 -276.923079401
-4.130859375 -276.100645036
-4.12109375 -275.271850302
-4.111328125 -274.436780451
-4.1015625 -273.595520401
-4.091796875 -272.748154749
-4.08203125 -271.894767759
-4.072265625 -271.035443371
-4.0625 -270.170265198
-4.052734375 -269.299316522
-4.04296875 -268.422680301
-4.033203125 -267.540439165
-4.0234375 -266.652675414
-4.013671875 -265.759471025
-4.00390625 -264.860907644
-3.994140625 -263.95706659
-3.984375 -263.048028857
-3.974609375 -262.133875108
-3.96484375 -261.214685682
-3.955078125 -260.290540588
-3.9453125 -259.36151951
-3.935546875 -258.427701802
-3.92578125 -257.489166492
-3.916015625 -256.545992281
-3.90625 -255.598257542
-3.896484375 -254.646040319
-3.88671875 -253.689418332
-3.876953125 -252.728468971
-3.8671875 -251.7632693
-3.857421875 -250.793896053
-3.84765625 -249.82042564
-3.837890625 -248.842934142
-3.828125 -247.861497313
-3.818359375 -246.876190578
-3.80859375 -245.887089036
-3.798828125 -244.894267459
-3.7890625 -243.897800291
-3.779296875 -242.897761648
-3.76953125 -241.894225319
-3.759765625 -240.887264767
-3.75 -239.876953125
-3.740234375 -238.8633632
-3.73046875 -237.846567472
-3.720703125 -236.826638093
-3.7109375 -235.803646887
-3.701171875 -234.777665351
-3.69140625 -233.748764656
-3.681640625 -232.717015644
-3.671875 -231.682488829
-3.662109375 -230.645254399
-3.65234375 -229.605382215
-3.642578125 -228.562941808
-3.6328125 -227.518002385
-3.623046875 -226.470632823
-3.61328125 -225.420901673
-3.603515625 -224.368877156
-3.59375 -223.314627171
-3.583984375 -222.258219283
